timestamp,actual,predicted,persistence
2024-12-28 09:00:00,0.4279,0.4656,0.5235
2024-12-28 10:00:00,0.351,0.3815,0.4279
2024-12-28 11:00:00,0.3456,0.3832,0.351
2024-12-28 12:00:00,0.3947,0.3789,0.3456
2024-12-28 13:00:00,0.3555,0.3982,0.3947
2024-12-28 14:00:00,0.3375,0.3631,0.3555
2024-12-28 15:00:00,0.4765,0.3874,0.3375
2024-12-28 16:00:00,0.5902,0.4859,0.4765
2024-12-28 17:00:00,0.6365,0.6573,0.5902
2024-12-28 18:00:00,0.6082,0.6336,0.6365
2024-12-28 19:00:00,0.5066,0.4921,0.6082
2024-12-28 20:00:00,0.297,0.3949,0.5066
2024-12-28 21:00:00,0.2328,0.2477,0.297
2024-12-28 22:00:00,0.169,0.2092,0.2328
2024-12-28 23:00:00,0.1922,0.1382,0.169
2024-12-29 00:00:00,0.0896,0.1181,0.1922
2024-12-29 01:00:00,0.056,0.0754,0.0896
2024-12-29 02:00:00,0.0413,0.0639,0.056
2024-12-29 03:00:00,0.0455,0.0488,0.0413
2024-12-29 04:00:00,0.0643,0.068,0.0455
2024-12-29 05:00:00,0.1188,0.134,0.0643
2024-12-29 06:00:00,0.231,0.2632,0.1188
2024-12-29 07:00:00,0.3333,0.3653,0.231
2024-12-29 08:00:00,0.3966,0.3989,0.3333
2024-12-29 09:00:00,0.3314,0.3468,0.3966
2024-12-29 10:00:00,0.2806,0.2886,0.3314
2024-12-29 11:00:00,0.2654,0.2723,0.2806
2024-12-29 12:00:00,0.3024,0.2845,0.2654
2024-12-29 13:00:00,0.2709,0.2923,0.3024
2024-12-29 14:00:00,0.2685,0.2707,0.2709
2024-12-29 15:00:00,0.2833,0.2935,0.2685
2024-12-29 16:00:00,0.3502,0.3609,0.2833
2024-12-29 17:00:00,0.412,0.4052,0.3502
2024-12-29 18:00:00,0.3742,0.4175,0.412
2024-12-29 19:00:00,0.2895,0.3419,0.3742
2024-12-29 20:00:00,0.2267,0.2362,0.2895
2024-12-29 21:00:00,0.1774,0.1857,0.2267
2024-12-29 22:00:00,0.1392,0.152,0.1774
2024-12-29 23:00:00,0.2188,0.1223,0.1392
2024-12-30 00:00:00,0.2162,0.1396,0.2188
2024-12-30 01:00:00,0.1897,0.1298,0.2162
2024-12-30 02:00:00,0.1624,0.1369,0.1897
2024-12-30 03:00:00,0.0723,0.139,0.1624
2024-12-30 04:00:00,0.0918,0.1127,0.0723
2024-12-30 05:00:00,0.2051,0.2101,0.0918
2024-12-30 06:00:00,0.3697,0.401,0.2051
2024-12-30 07:00:00,0.5431,0.5583,0.3697
2024-12-30 08:00:00,0.6211,0.6257,0.5431
2024-12-30 09:00:00,0.5244,0.5264,0.6211
2024-12-30 10:00:00,0.4767,0.4551,0.5244
2024-12-30 11:00:00,0.4264,0.4401,0.4767
2024-12-30 12:00:00,0.4466,0.4617,0.4264
2024-12-30 13:00:00,0.433,0.4568,0.4466
2024-12-30 14:00:00,0.4482,0.4379,0.433
2024-12-30 15:00:00,0.5732,0.4853,0.4482
2024-12-30 16:00:00,0.6509,0.6371,0.5732
2024-12-30 17:00:00,0.6293,0.6637,0.6509
2024-12-30 18:00:00,0.604,0.6302,0.6293
2024-12-30 19:00:00,0.5602,0.5218,0.604
2024-12-30 20:00:00,0.387,0.4124,0.5602
2024-12-30 21:00:00,0.2684,0.3066,0.387
2024-12-30 22:00:00,0.2082,0.2377,0.2684
2024-12-30 23:00:00,0.1563,0.1694,0.2082
