segment_id,zone,road_type,lanes,length_km,latitude,longitude,avg_congestion,peak_congestion,avg_speed_ratio,pct_congested_hours,incidents,observations,peak_offpeak_ratio,weekend_ratio,wet_penalty,incident_rate_per_1k_h,cluster,cluster_label,dbscan_cluster,pca_1,pca_2
SEG018,West,Highway,3,3.79,12.81122,77.71128,0.3738,0.7183,0.6591,14.33,287,8760,1.8969,0.7206,0.083,32.763,0,Chronic peak-hour bottleneck,-1,0.5012,-0.0215
SEG019,South,Residential,1,4.27,12.93243,77.44831,0.3926,0.748,0.6436,18.62,124,8760,1.934,0.7279,0.0845,14.155,0,Chronic peak-hour bottleneck,4,0.8796,2.1629
SEG020,South,Collector,2,1.05,12.75422,77.76968,0.4313,0.8316,0.6138,25.8,197,8760,1.9122,0.7225,0.0824,22.489,0,Chronic peak-hour bottleneck,-1,1.9678,0.5726
SEG021,North,Collector,2,1.26,12.94182,77.64965,0.3512,0.6697,0.6768,10.66,180,8760,1.9087,0.7209,0.0839,20.548,1,Stable low-stress segment,0,-0.1849,1.2603
SEG022,Central,Arterial,3,2.96,12.78166,77.64405,0.4914,0.969,0.5672,38.55,297,8760,1.9099,0.7247,0.0781,33.904,0,Chronic peak-hour bottleneck,-1,3.9206,-1.5868
SEG023,Central,Residential,1,6.29,12.92338,77.44256,0.4151,0.7943,0.6258,22.67,124,8760,1.9282,0.7182,0.0844,14.155,0,Chronic peak-hour bottleneck,4,1.7203,2.3802
SEG024,South,Residential,2,4.04,12.92607,77.73293,0.2902,0.5505,0.7217,2.4,89,8760,1.8908,0.7421,0.0818,10.16,1,Stable low-stress segment,-1,-2.8849,-0.4967
SEG025,North,Collector,2,6.09,12.88775,77.42044,0.3457,0.6598,0.6802,9.61,176,8760,1.9162,0.7231,0.0845,20.091,1,Stable low-stress segment,-1,-0.298,1.6227
SEG026,North,Arterial,2,5.31,12.90815,77.4967,0.3004,0.5742,0.7158,3.77,224,8760,1.899,0.7163,0.0792,25.571,1,Stable low-stress segment,-1,-1.0309,-0.3728
SEG027,North,Arterial,3,3.25,12.99501,77.46149,0.4927,0.9854,0.5663,38.11,299,8760,1.8985,0.7285,0.0783,34.132,0,Chronic peak-hour bottleneck,-1,3.6112,-2.1407
SEG028,Central,Highway,3,5.19,13.00773,77.68964,0.3087,0.5997,0.7097,5.0,274,8760,1.9214,0.7334,0.0853,31.279,1,Stable low-stress segment,0,-1.1812,1.0665
SEG029,Central,Arterial,2,0.51,12.89718,77.48135,0.489,0.9551,0.5687,38.08,265,8760,1.8999,0.723,0.0793,30.251,0,Chronic peak-hour bottleneck,-1,3.5784,-1.3158
SEG030,North,Collector,2,1.07,12.93585,77.73783,0.4817,0.936,0.5738,36.46,213,8760,1.9271,0.7243,0.0788,24.315,0,Chronic peak-hour bottleneck,-1,3.7042,-0.2821
SEG031,West,Collector,1,5.46,13.05525,77.64626,0.4077,0.7802,0.6323,20.58,209,8760,1.9108,0.7226,0.0826,23.858,0,Chronic peak-hour bottleneck,-1,1.3227,0.5761
SEG032,North,Residential,1,5.26,12.7631,77.42302,0.2607,0.4965,0.7449,1.13,95,8760,1.8972,0.7224,0.0846,10.845,1,Stable low-stress segment,2,-2.6883,1.6041
SEG033,South,Arterial,3,1.82,12.76216,77.41195,0.2814,0.534,0.7302,2.43,199,8760,1.9022,0.7379,0.0791,22.717,1,Stable low-stress segment,2,-2.2711,-1.2477
SEG034,East,Arterial,2,3.64,12.75158,77.4286,0.4599,0.8994,0.5917,31.74,296,8760,1.9313,0.7294,0.0803,33.79,0,Chronic peak-hour bottleneck,1,3.1858,-0.3337
SEG035,West,Arterial,3,4.1,12.95683,77.62813,0.3329,0.6386,0.6904,7.74,243,8760,1.899,0.7152,0.0826,27.74,1,Stable low-stress segment,0,-0.3387,0.5346
SEG036,Central,Arterial,2,5.69,12.8707,77.69853,0.3079,0.5912,0.7105,4.49,235,8760,1.8826,0.7224,0.0801,26.826,1,Stable low-stress segment,5,-1.4088,-1.0711
SEG037,North,Highway,3,4.08,12.99876,77.49588,0.2919,0.5583,0.7228,3.29,248,8760,1.8979,0.7297,0.08,28.311,1,Stable low-stress segment,6,-1.7103,-0.9809
SEG038,North,Arterial,2,2.92,12.96164,77.71579,0.3793,0.7369,0.6544,15.68,267,8760,1.9033,0.7283,0.0813,30.479,0,Chronic peak-hour bottleneck,0,0.5172,-0.6165
SEG039,South,Arterial,2,2.68,12.84011,77.4306,0.3024,0.5804,0.714,3.96,226,8760,1.9112,0.7277,0.082,25.799,1,Stable low-stress segment,2,-1.308,0.2856
SEG040,South,Collector,1,3.0,13.04341,77.69835,0.4561,0.8785,0.5941,30.95,181,8760,1.9191,0.719,0.0803,20.662,0,Chronic peak-hour bottleneck,3,2.9155,0.3939
SEG041,Central,Arterial,2,4.38,12.99451,77.74401,0.2583,0.4922,0.7483,1.67,212,8760,1.8832,0.7468,0.0824,24.201,1,Stable low-stress segment,-1,-3.509,-1.4273
SEG042,West,Residential,1,5.69,12.81739,77.68796,0.2938,0.5566,0.7194,2.84,110,8760,1.8918,0.7281,0.0786,12.557,1,Stable low-stress segment,5,-2.0585,-0.8063
SEG043,South,Collector,2,3.17,12.85111,77.66132,0.2524,0.4775,0.7525,1.21,122,8760,1.8861,0.7319,0.081,13.927,1,Stable low-stress segment,5,-3.1976,-0.4852
SEG044,Central,Arterial,2,1.91,12.8332,77.71167,0.4893,0.981,0.5683,37.11,328,8760,1.9008,0.7221,0.0799,37.443,0,Chronic peak-hour bottleneck,-1,3.8238,-1.3924
SEG045,East,Residential,1,1.84,12.77674,77.42445,0.3133,0.5954,0.7049,4.77,95,8760,1.8959,0.7308,0.0795,10.845,1,Stable low-stress segment,2,-1.7424,-0.4916
SEG046,East,Residential,2,4.95,12.7732,77.48264,0.4795,0.9197,0.5746,36.06,113,8760,1.9207,0.7193,0.0811,12.9,0,Chronic peak-hour bottleneck,1,3.3257,0.9725
SEG047,East,Arterial,3,5.38,13.05701,77.45497,0.2967,0.5695,0.7195,3.44,216,8760,1.902,0.7245,0.0889,24.658,1,Stable low-stress segment,6,-1.8056,2.2524
SEG048,North,Arterial,3,1.04,12.87765,77.59163,0.3076,0.5938,0.71,4.53,218,8760,1.923,0.7282,0.0839,24.886,1,Stable low-stress segment,-1,-1.0882,1.2737
SEG049,Central,Collector,2,0.81,12.858,77.67827,0.2846,0.542,0.7274,2.28,131,8760,1.9067,0.7301,0.0781,14.954,1,Stable low-stress segment,5,-1.9692,-0.63
SEG050,North,Highway,3,4.03,12.98269,77.6368,0.3602,0.7054,0.6699,12.2,317,8760,1.8824,0.7339,0.0752,36.187,1,Stable low-stress segment,0,-0.1498,-3.6856
SEG051,North,Arterial,2,1.29,12.91908,77.71641,0.2749,0.525,0.7355,2.04,178,8760,1.8847,0.7281,0.0787,20.32,1,Stable low-stress segment,-1,-2.378,-1.3541
SEG052,South,Highway,3,5.43,13.05701,77.46588,0.2908,0.555,0.7239,3.22,242,8760,1.8939,0.7372,0.0794,27.626,1,Stable low-stress segment,6,-2.0915,-1.6571
SEG053,South,Collector,2,2.29,13.00091,77.67446,0.4301,0.8281,0.615,25.47,195,8760,1.9167,0.726,0.0825,22.26,0,Chronic peak-hour bottleneck,3,1.8661,0.5934
SEG054,North,Collector,1,1.28,12.89257,77.47949,0.3827,0.7295,0.6514,16.5,170,8760,1.92,0.7238,0.0813,19.406,0,Chronic peak-hour bottleneck,4,0.7855,0.7101
SEG055,North,Collector,2,6.02,12.85549,77.50747,0.3135,0.5958,0.7051,4.74,154,8760,1.9042,0.736,0.0839,17.58,1,Stable low-stress segment,-1,-1.8183,0.5353
SEG056,West,Collector,2,1.41,13.07519,77.66557,0.3492,0.6705,0.6782,10.32,169,8760,1.9167,0.7188,0.0821,19.292,1,Stable low-stress segment,0,0.0562,1.1743
SEG057,Central,Arterial,3,2.14,12.97839,77.76287,0.3861,0.7412,0.6496,17.1,258,8760,1.8986,0.7189,0.0809,29.452,0,Chronic peak-hour bottleneck,0,0.9308,-0.3792
SEG058,North,Collector,1,1.34,13.06243,77.63016,0.3127,0.5939,0.7055,4.58,154,8760,1.9132,0.729,0.078,17.58,1,Stable low-stress segment,0,-1.1518,-0.5441
SEG059,South,Highway,5,1.1,12.76265,77.42962,0.3871,0.7676,0.6484,17.24,341,8760,1.8969,0.7171,0.0866,38.927,0,Chronic peak-hour bottleneck,-1,1.0528,0.9114
SEG060,East,Highway,4,0.53,13.02619,77.63187,0.3241,0.6221,0.6976,6.35,278,8760,1.9143,0.7192,0.0798,31.735,1,Stable low-stress segment,0,-0.2104,-0.135
