antecedent,consequent,support,confidence,lift,leverage,conviction,antecedent_size
SEVERITY=Critical,"CONGESTION=Severe, LANES_BLOCKED=2+",0.0782,0.6893,2.5034,0.047,2.3321,1
"LANES_BLOCKED=0, ROAD=Collector",SEVERITY=Minor,0.0619,0.5758,2.4841,0.037,1.8109,2
"LANES_BLOCKED=0, ROAD=Arterial",SEVERITY=Minor,0.0729,0.5756,2.4832,0.0436,1.81,2
"ROAD=Arterial, TIME=Evening",PEAK=Yes,0.0697,0.8091,2.4776,0.0416,3.528,2
"LANES_BLOCKED=0, RESPONSE=Slow",SEVERITY=Minor,0.05,0.5732,2.4728,0.0298,1.7998,2
"TIME=Evening, WEEKEND=No",PEAK=Yes,0.1236,0.8053,2.4661,0.0735,3.4594,2
TIME=Evening,PEAK=Yes,0.1649,0.8047,2.4642,0.098,3.4484,1
"TIME=Evening, TYPE=Collision",PEAK=Yes,0.0561,0.8042,2.4626,0.0333,3.4397,2
"DURATION=45-90m, TIME=Evening",PEAK=Yes,0.0554,0.7965,2.4389,0.0327,3.3088,2
"LANES_BLOCKED=2+, TIME=Evening",PEAK=Yes,0.0579,0.7964,2.4387,0.0342,3.3076,2
"LANES_BLOCKED=1, TIME=Evening",PEAK=Yes,0.0549,0.796,2.4374,0.0324,3.3006,2
TIME=Evening,"PEAK=Yes, WEEKEND=No",0.1236,0.603,2.4365,0.0729,1.8956,1
"TIME=Evening, VEHICLES=2-3",PEAK=Yes,0.0913,0.7953,2.4353,0.0538,3.2897,2
"DURATION=45-90m, SEVERITY=Minor",LANES_BLOCKED=0,0.0558,0.775,2.4094,0.0327,3.0149,2
"SEVERITY=Minor, WEEKEND=No",LANES_BLOCKED=0,0.1309,0.7706,2.3957,0.0762,2.9571,2
"RESPONSE=Slow, SEVERITY=Minor",LANES_BLOCKED=0,0.05,0.7695,2.3924,0.0291,2.9432,2
"TIME=Evening, WEATHER=Clear",PEAK=Yes,0.0724,0.779,2.3856,0.0421,3.0479,2
"CONGESTION=Severe, ROAD=Highway",LANES_BLOCKED=2+,0.0796,0.8388,2.385,0.0462,4.0216,2
"CONGESTION=Free flow, SEVERITY=Minor",LANES_BLOCKED=0,0.0622,0.7631,2.3723,0.036,2.8628,2
"SEVERITY=Minor, VEHICLES=2-3",LANES_BLOCKED=0,0.1058,0.7624,2.3702,0.0612,2.8548,2
SEVERITY=Minor,LANES_BLOCKED=0,0.1767,0.7624,2.3701,0.1021,2.8545,1
"DURATION=20-45m, SEVERITY=Minor",LANES_BLOCKED=0,0.0697,0.7471,2.3228,0.0397,2.6828,2
"PEAK=No, SEVERITY=Minor",LANES_BLOCKED=0,0.1404,0.7451,2.3165,0.0798,2.6614,2
SEVERITY=Minor,"LANES_BLOCKED=0, WEEKEND=No",0.1309,0.5646,2.3103,0.0742,1.7355,1
"SEVERITY=Minor, WEATHER=Clear",LANES_BLOCKED=0,0.1032,0.7426,2.3088,0.0585,2.6358,2
"SEVERITY=Minor, TYPE=Breakdown",LANES_BLOCKED=0,0.0529,0.7358,2.2874,0.0298,2.5672,2
TIME=Afternoon,"CONGESTION=Severe, PEAK=No",0.1526,0.6206,2.2276,0.0841,1.9016,1
"ROAD=Arterial, SEVERITY=Minor",LANES_BLOCKED=0,0.0729,0.6994,2.1743,0.0394,2.2564,2
SEVERITY=Critical,"LANES_BLOCKED=2+, WEEKEND=No",0.0647,0.5696,2.1538,0.0346,1.7089,1
"ROAD=Highway, SEVERITY=Serious",LANES_BLOCKED=2+,0.0552,0.7456,2.12,0.0291,2.5481,2
SEVERITY=Critical,TYPE=Collision,0.0793,0.6986,2.0967,0.0415,2.2126,1
SEVERITY=Critical,LANES_BLOCKED=2+,0.0826,0.7275,2.0685,0.0427,2.3788,1
"CONGESTION=Severe, SEVERITY=Critical",TYPE=Collision,0.0742,0.6887,2.0669,0.0383,2.1419,2
"CONGESTION=Severe, SEVERITY=Critical",LANES_BLOCKED=2+,0.0782,0.7259,2.064,0.0403,2.3651,2
"SEVERITY=Critical, WEEKEND=No",TYPE=Collision,0.062,0.6872,2.0625,0.032,2.1318,2
"LANES_BLOCKED=2+, SEVERITY=Critical",TYPE=Collision,0.0563,0.6819,2.0464,0.0288,2.096,2
"SEVERITY=Critical, WEEKEND=No",LANES_BLOCKED=2+,0.0647,0.7162,2.0365,0.0329,2.2846,2
"SEVERITY=Critical, TYPE=Collision",LANES_BLOCKED=2+,0.0563,0.71,2.0188,0.0284,2.2356,2
"CONGESTION=Severe, TIME=Morning",PEAK=Yes,0.1197,0.6389,1.9563,0.0585,1.8648,2
"SEVERITY=Critical, WEEKEND=No",DURATION=>90m,0.0517,0.573,1.9506,0.0252,1.6539,2
SEVERITY=Critical,DURATION=>90m,0.0645,0.5681,1.9341,0.0311,1.6353,1
"CONGESTION=Severe, SEVERITY=Critical",DURATION=>90m,0.0612,0.568,1.9335,0.0296,1.6347,2
"CONGESTION=Light, WEEKEND=No",LANES_BLOCKED=0,0.0706,0.62,1.9274,0.034,1.785,2
"DURATION=>90m, TIME=Morning",PEAK=Yes,0.0577,0.6173,1.8904,0.0272,1.7599,2
"PEAK=Yes, SEVERITY=Critical",CONGESTION=Severe,0.062,0.9921,1.8829,0.0291,60.1591,2
"ROAD=Arterial, SEVERITY=Serious",LANES_BLOCKED=2+,0.0769,0.6578,1.8704,0.0358,1.8945,2
"SEVERITY=Serious, TIME=Morning",PEAK=Yes,0.0545,0.6077,1.8608,0.0252,1.7165,2
"LANES_BLOCKED=2+, PEAK=Yes",CONGESTION=Severe,0.1107,0.9734,1.8472,0.0508,17.7594,2
CONGESTION=Light,LANES_BLOCKED=0,0.1044,0.5919,1.8402,0.0476,1.6623,1
"DURATION=>90m, VEHICLES=4+",TYPE=Collision,0.0602,0.611,1.8337,0.0274,1.714,2
"SEVERITY=Moderate, TYPE=Collision",LANES_BLOCKED=0,0.0604,0.588,1.8282,0.0274,1.6467,2
"CONGESTION=Light, VEHICLES=2-3",LANES_BLOCKED=0,0.0584,0.5877,1.827,0.0265,1.6451,2
"CONGESTION=Light, WEATHER=Clear",LANES_BLOCKED=0,0.0544,0.5869,1.8247,0.0246,1.6422,2
"SEVERITY=Critical, WEEKEND=No",CONGESTION=Severe,0.0867,0.9601,1.8221,0.0391,11.8591,2
"LANES_BLOCKED=2+, ZONE=Central",ROAD=Arterial,0.0681,0.7761,1.8208,0.0307,2.5627,2
"LANES_BLOCKED=2+, TIME=Evening",CONGESTION=Severe,0.0696,0.9561,1.8145,0.0312,10.7836,2
"SEVERITY=Critical, VEHICLES=2-3",CONGESTION=Severe,0.0538,0.9522,1.807,0.024,9.8915,2
SEVERITY=Critical,CONGESTION=Severe,0.1078,0.9495,1.802,0.048,9.3736,1
"DURATION=>90m, SEVERITY=Critical",CONGESTION=Severe,0.0612,0.9492,1.8015,0.0272,9.3195,2
"LANES_BLOCKED=2+, SEVERITY=Critical",CONGESTION=Severe,0.0782,0.9475,1.7981,0.0347,9.0062,2
"SEVERITY=Serious, WEATHER=Clear",LANES_BLOCKED=2+,0.0818,0.6305,1.7928,0.0362,1.7546,2
"RESPONSE=Fast, SEVERITY=Critical",CONGESTION=Severe,0.0597,0.9443,1.7921,0.0264,8.4933,2
"SEVERITY=Critical, TYPE=Collision",CONGESTION=Severe,0.0742,0.936,1.7764,0.0324,7.3937,2
"LANES_BLOCKED=2+, TIME=Afternoon",CONGESTION=Severe,0.0845,0.934,1.7725,0.0368,7.1674,2
SEVERITY=Critical,"CONGESTION=Severe, WEEKEND=No",0.0867,0.7635,1.7698,0.0377,2.4044,1
"RESPONSE=Fast, VEHICLES=4+",TYPE=Collision,0.0611,0.5883,1.7657,0.0265,1.6197,2
"SEVERITY=Serious, VEHICLES=4+",TYPE=Collision,0.0575,0.5883,1.7656,0.0249,1.6196,2
"RESPONSE=Fast, TIME=Morning",PEAK=Yes,0.0554,0.5762,1.7643,0.024,1.5889,2
"CONGESTION=Severe, SEVERITY=Critical",PEAK=Yes,0.062,0.5748,1.7601,0.0268,1.5838,2
"PEAK=No, SEVERITY=Serious",LANES_BLOCKED=2+,0.109,0.6178,1.7567,0.047,1.6963,2
"LANES_BLOCKED=2+, TIME=Morning",CONGESTION=Severe,0.093,0.9243,1.7542,0.04,6.2517,2
"SEVERITY=Critical, WEEKEND=No",RESPONSE=Fast,0.0504,0.5585,1.7519,0.0216,1.5429,2
SEVERITY=Critical,RESPONSE=Fast,0.0632,0.5566,1.746,0.027,1.5363,1
"TIME=Morning, ZONE=North",PEAK=Yes,0.0501,0.5688,1.7417,0.0213,1.5617,2
"CONGESTION=Moderate, WEEKEND=No",LANES_BLOCKED=0,0.061,0.5597,1.7401,0.0259,1.5407,2
"CONGESTION=Severe, WEEKEND=Yes",LANES_BLOCKED=2+,0.0584,0.6118,1.7397,0.0248,1.6701,2
"CONGESTION=Severe, SEVERITY=Critical",RESPONSE=Fast,0.0597,0.5535,1.7363,0.0253,1.5258,2
"SEVERITY=Serious, TIME=Evening",CONGESTION=Severe,0.0676,0.9147,1.736,0.0287,5.5479,2
"PEAK=Yes, SEVERITY=Serious",CONGESTION=Severe,0.1061,0.9133,1.7333,0.0449,5.4576,2
"CONGESTION=Severe, ROAD=Arterial",LANES_BLOCKED=2+,0.1418,0.6075,1.7274,0.0597,1.6518,2
"SEVERITY=Serious, ZONE=North",LANES_BLOCKED=2+,0.0571,0.6043,1.7183,0.0239,1.6385,2
"ROAD=Arterial, TIME=Morning",PEAK=Yes,0.07,0.5596,1.7134,0.0291,1.529,2
"CONGESTION=Severe, ZONE=Central",ROAD=Arterial,0.0975,0.7298,1.7121,0.0405,2.1232,2
"RESPONSE=Normal, TIME=Morning",PEAK=Yes,0.05,0.559,1.7118,0.0208,1.5271,2
"LANES_BLOCKED=1, TIME=Morning",PEAK=Yes,0.054,0.5546,1.6983,0.0222,1.512,2
"LANES_BLOCKED=2+, TIME=Morning",PEAK=Yes,0.0557,0.5541,1.6968,0.0229,1.5103,2
"TIME=Morning, VEHICLES=2-3",PEAK=Yes,0.0917,0.5517,1.6895,0.0374,1.5023,2
"TIME=Morning, WEEKEND=No",PEAK=Yes,0.1239,0.5501,1.6846,0.0504,1.497,2
SEVERITY=Critical,PEAK=Yes,0.0624,0.5501,1.6845,0.0254,1.4969,1
"SEVERITY=Moderate, ZONE=Central",ROAD=Arterial,0.0629,0.7167,1.6813,0.0255,2.0251,2
"CONGESTION=Severe, PEAK=No",LANES_BLOCKED=2+,0.1647,0.5911,1.6806,0.0667,1.5854,2
"PEAK=No, ZONE=Central",ROAD=Arterial,0.1186,0.7138,1.6746,0.0478,2.0046,2
"SEVERITY=Serious, TIME=Afternoon",CONGESTION=Severe,0.0643,0.8822,1.6741,0.0259,4.0144,2
"CONGESTION=Severe, SEVERITY=Serious",LANES_BLOCKED=2+,0.1346,0.5871,1.6693,0.054,1.5701,2
"SEVERITY=Serious, TYPE=Breakdown",CONGESTION=Severe,0.0546,0.8765,1.6634,0.0218,3.8299,2
"LANES_BLOCKED=0, VEHICLES=4+",TYPE=Collision,0.054,0.5542,1.6631,0.0215,1.4956,2
"VEHICLES=2-3, ZONE=Central",ROAD=Arterial,0.0959,0.7064,1.6573,0.038,1.9545,2
"CONGESTION=Severe, ZONE=North",LANES_BLOCKED=2+,0.0904,0.5823,1.6556,0.0358,1.552,2
"SEVERITY=Serious, TIME=Morning",CONGESTION=Severe,0.0782,0.8723,1.6554,0.031,3.7035,2
"WEEKEND=No, ZONE=Central",ROAD=Arterial,0.1302,0.7043,1.6523,0.0514,1.9402,2
"SEVERITY=Serious, VEHICLES=2-3",LANES_BLOCKED=2+,0.0961,0.58,1.6493,0.0378,1.5437,2
"ROAD=Collector, SEVERITY=Serious",CONGESTION=Severe,0.0661,0.8687,1.6486,0.026,3.6023,2
ZONE=Central,ROAD=Arterial,0.1704,0.7012,1.6451,0.0668,1.9205,1
"WEATHER=Clear, ZONE=Central",ROAD=Arterial,0.0824,0.6998,1.6417,0.0322,1.9112,2
"TYPE=Collision, ZONE=Central",ROAD=Arterial,0.0559,0.6984,1.6384,0.0218,1.9021,2
"RESPONSE=Fast, ZONE=Central",ROAD=Arterial,0.0566,0.6983,1.6382,0.0221,1.9016,2
"DURATION=45-90m, ZONE=Central",ROAD=Arterial,0.0577,0.6973,1.6359,0.0224,1.8956,2
"VEHICLES=4+, ZONE=Central",ROAD=Arterial,0.0516,0.6961,1.6331,0.02,1.8881,2
"CONGESTION=Severe, DURATION=>90m",LANES_BLOCKED=2+,0.1138,0.5734,1.6305,0.044,1.5198,2
"DURATION=>90m, PEAK=Yes",CONGESTION=Severe,0.0985,0.8588,1.6298,0.0381,3.3497,2
"RESPONSE=Normal, ZONE=Central",ROAD=Arterial,0.0504,0.6945,1.6292,0.0195,1.8779,2
"PEAK=No, ROAD=Highway",LANES_BLOCKED=2+,0.0805,0.5708,1.6231,0.0309,1.5107,2
"ROAD=Highway, WEATHER=Clear",LANES_BLOCKED=2+,0.0571,0.5707,1.6228,0.0219,1.5102,2
"RESPONSE=Normal, SEVERITY=Serious",LANES_BLOCKED=2+,0.0562,0.5682,1.6157,0.0214,1.5015,2
"ROAD=Highway, ZONE=North",LANES_BLOCKED=2+,0.0509,0.568,1.6151,0.0194,1.5008,2
"DURATION=>90m, TIME=Evening",CONGESTION=Severe,0.0577,0.8463,1.6062,0.0218,3.0787,2
"LANES_BLOCKED=1, PEAK=Yes",CONGESTION=Severe,0.0922,0.846,1.6055,0.0348,3.0715,2
"ROAD=Highway, WEEKEND=No",LANES_BLOCKED=2+,0.088,0.5643,1.6045,0.0331,1.488,2
ROAD=Highway,LANES_BLOCKED=2+,0.1161,0.5634,1.6019,0.0436,1.4848,1
"PEAK=Yes, RESPONSE=Fast",CONGESTION=Severe,0.0951,0.8384,1.5911,0.0353,2.9271,2
"PEAK=Yes, ZONE=Central",ROAD=Arterial,0.0518,0.6741,1.5815,0.019,1.7606,2
"LANES_BLOCKED=2+, SEVERITY=Serious",CONGESTION=Severe,0.1346,0.8329,1.5807,0.0495,2.8313,2
"ROAD=Highway, VEHICLES=2-3",LANES_BLOCKED=2+,0.066,0.5555,1.5794,0.0242,1.4584,2
"CONGESTION=Severe, RESPONSE=Fast",LANES_BLOCKED=2+,0.1093,0.555,1.5782,0.0401,1.457,2
"CONGESTION=Severe, TIME=Afternoon",LANES_BLOCKED=2+,0.0845,0.5539,1.5749,0.0309,1.4532,2
"LANES_BLOCKED=2+, RESPONSE=Fast",CONGESTION=Severe,0.1093,0.8293,1.5738,0.0399,2.7713,2
"CONGESTION=Severe, WEATHER=Clear",LANES_BLOCKED=2+,0.1331,0.5527,1.5715,0.0484,1.4493,2
"DURATION=>90m, LANES_BLOCKED=2+",CONGESTION=Severe,0.1138,0.8279,1.5711,0.0414,2.7484,2
SEVERITY=Serious,LANES_BLOCKED=2+,0.1616,0.5524,1.5708,0.0587,1.4486,1
"DURATION=45-90m, SEVERITY=Serious",LANES_BLOCKED=2+,0.0538,0.5507,1.5659,0.0194,1.443,2
"SEVERITY=Serious, WEEKEND=No",CONGESTION=Severe,0.1862,0.8246,1.5649,0.0672,2.6967,2
"SEVERITY=Serious, WEATHER=Cloudy",CONGESTION=Severe,0.053,0.8242,1.5642,0.0191,2.691,2
"LANES_BLOCKED=2+, WEEKEND=No",CONGESTION=Severe,0.2169,0.8202,1.5565,0.0775,2.6308,2
"LANES_BLOCKED=0, ZONE=Central",ROAD=Arterial,0.051,0.6635,1.5565,0.0182,1.7049,2
"SEVERITY=Serious, ZONE=Central",CONGESTION=Severe,0.0551,0.8197,1.5557,0.0197,2.6243,2
"LANES_BLOCKED=2+, ZONE=Central",CONGESTION=Severe,0.0717,0.8172,1.5508,0.0255,2.5874,2
"LANES_BLOCKED=2+, ROAD=Arterial",CONGESTION=Severe,0.1418,0.8143,1.5454,0.05,2.5474,2
"PEAK=Yes, WEEKEND=No",CONGESTION=Severe,0.2015,0.8142,1.5451,0.0711,2.5455,2
"SEVERITY=Serious, WEATHER=Clear",CONGESTION=Severe,0.1054,0.8121,1.5412,0.037,2.5178,2
"ROAD=Arterial, SEVERITY=Serious",CONGESTION=Severe,0.0948,0.8104,1.5379,0.0331,2.4945,2
"LANES_BLOCKED=1, ZONE=Central",ROAD=Arterial,0.0513,0.6545,1.5354,0.0179,1.6606,2
TIME=Afternoon,"PEAK=No, WEEKEND=No",0.191,0.7767,1.5343,0.0665,2.2113,1
"RESPONSE=Fast, TIME=Evening",CONGESTION=Severe,0.057,0.8056,1.5288,0.0197,2.4329,2
"DURATION=45-90m, SEVERITY=Serious",CONGESTION=Severe,0.0782,0.8005,1.5192,0.0267,2.3713,2
"SEVERITY=Serious, VEHICLES=2-3",CONGESTION=Severe,0.1324,0.7994,1.5171,0.0451,2.3584,2
"LANES_BLOCKED=2+, WEATHER=Cloudy",CONGESTION=Severe,0.0654,0.7982,1.5148,0.0222,2.3443,2
"PEAK=Yes, ZONE=Central",CONGESTION=Severe,0.0612,0.7966,1.5118,0.0207,2.3257,2
CONGESTION=Free flow,"PEAK=No, VEHICLES=2-3",0.0909,0.5802,1.5078,0.0306,1.4654,1
"RESPONSE=Fast, SEVERITY=Serious",CONGESTION=Severe,0.0866,0.7896,1.4984,0.0288,2.2479,2
"LANES_BLOCKED=2+, TYPE=Collision",CONGESTION=Severe,0.0917,0.7893,1.4979,0.0305,2.2451,2
"PEAK=Yes, ROAD=Collector",CONGESTION=Severe,0.0727,0.7886,1.4967,0.0241,2.2381,2
TIME=Late Evening,"PEAK=No, VEHICLES=2-3",0.0583,0.5747,1.4935,0.0193,1.4465,1
TIME=Night,"PEAK=No, VEHICLES=2-3",0.0882,0.5746,1.4935,0.0292,1.4464,1
"LANES_BLOCKED=2+, VEHICLES=4+",CONGESTION=Severe,0.0809,0.7868,1.4932,0.0267,2.2189,2
"LANES_BLOCKED=1, TIME=Evening",CONGESTION=Severe,0.0542,0.7853,1.4903,0.0178,2.2033,2
SEVERITY=Serious,CONGESTION=Severe,0.2293,0.7838,1.4874,0.0752,2.1879,1
LANES_BLOCKED=2+,CONGESTION=Severe,0.2753,0.7829,1.4857,0.09,2.1788,1
"LANES_BLOCKED=2+, VEHICLES=2-3",CONGESTION=Severe,0.1569,0.7828,1.4855,0.0513,2.1777,2
"PEAK=Yes, ROAD=Arterial",CONGESTION=Severe,0.1093,0.7827,1.4853,0.0357,2.1766,2
TIME=Late Evening,PEAK=No,0.1014,1.0,1.4849,0.0331,inf,1
TIME=Night,PEAK=No,0.1535,1.0,1.4849,0.0501,inf,1
TIME=Afternoon,PEAK=No,0.2459,1.0,1.4849,0.0803,inf,1
"TIME=Afternoon, WEEKEND=No",PEAK=No,0.191,1.0,1.4849,0.0624,inf,2
"ROAD=Collector, TIME=Afternoon",PEAK=No,0.0658,1.0,1.4849,0.0215,inf,2
"SEVERITY=Minor, TIME=Night",PEAK=No,0.0532,1.0,1.4849,0.0174,inf,2
"ROAD=Arterial, TIME=Night",PEAK=No,0.0653,1.0,1.4849,0.0213,inf,2
"CONGESTION=Severe, TIME=Afternoon",PEAK=No,0.1526,1.0,1.4849,0.0498,inf,2
"RESPONSE=Fast, TIME=Afternoon",PEAK=No,0.0787,1.0,1.4849,0.0257,inf,2
"RESPONSE=Normal, TIME=Afternoon",PEAK=No,0.0774,1.0,1.4849,0.0253,inf,2
"TIME=Afternoon, ZONE=Central",PEAK=No,0.0603,1.0,1.4849,0.0197,inf,2
"TIME=Afternoon, VEHICLES=2-3",PEAK=No,0.1403,1.0,1.4849,0.0458,inf,2
"TIME=Afternoon, WEATHER=Cloudy",PEAK=No,0.0624,1.0,1.4849,0.0204,inf,2
"TIME=Afternoon, ZONE=South",PEAK=No,0.0504,1.0,1.4849,0.0165,inf,2
"ROAD=Arterial, TIME=Afternoon",PEAK=No,0.1046,1.0,1.4849,0.0342,inf,2
"RESPONSE=Slow, TIME=Afternoon",PEAK=No,0.0547,1.0,1.4849,0.0179,inf,2
"DURATION=45-90m, TIME=Night",PEAK=No,0.0543,1.0,1.4849,0.0177,inf,2
"DURATION=>90m, TIME=Afternoon",PEAK=No,0.0702,1.0,1.4849,0.0229,inf,2
"TIME=Afternoon, TYPE=Breakdown",PEAK=No,0.0563,1.0,1.4849,0.0184,inf,2
"TIME=Afternoon, VEHICLES=4+",PEAK=No,0.0741,1.0,1.4849,0.0242,inf,2
"TIME=Night, VEHICLES=2-3",PEAK=No,0.0882,1.0,1.4849,0.0288,inf,2
"TIME=Night, TYPE=Collision",PEAK=No,0.0523,1.0,1.4849,0.0171,inf,2
"TIME=Afternoon, WEEKEND=Yes",PEAK=No,0.0549,1.0,1.4849,0.0179,inf,2
"TIME=Night, WEATHER=Clear",PEAK=No,0.0793,1.0,1.4849,0.0259,inf,2
"TIME=Late Evening, VEHICLES=2-3",PEAK=No,0.0583,1.0,1.4849,0.019,inf,2
"SEVERITY=Serious, TIME=Afternoon",PEAK=No,0.0729,1.0,1.4849,0.0238,inf,2
"LANES_BLOCKED=1, TIME=Afternoon",PEAK=No,0.0745,1.0,1.4849,0.0243,inf,2
"LANES_BLOCKED=1, TIME=Night",PEAK=No,0.0525,1.0,1.4849,0.0171,inf,2
"LANES_BLOCKED=2+, TIME=Afternoon",PEAK=No,0.0905,1.0,1.4849,0.0296,inf,2
"TIME=Late Evening, WEEKEND=No",PEAK=No,0.0745,1.0,1.4849,0.0243,inf,2
"LANES_BLOCKED=2+, TIME=Night",PEAK=No,0.0518,1.0,1.4849,0.0169,inf,2
"SEVERITY=Moderate, TIME=Afternoon",PEAK=No,0.0905,1.0,1.4849,0.0296,inf,2
"SEVERITY=Minor, TIME=Afternoon",PEAK=No,0.057,1.0,1.4849,0.0186,inf,2
"TIME=Afternoon, TYPE=Collision",PEAK=No,0.0836,1.0,1.4849,0.0273,inf,2
"SEVERITY=Moderate, TIME=Night",PEAK=No,0.0633,1.0,1.4849,0.0207,inf,2
"TIME=Afternoon, ZONE=North",PEAK=No,0.0757,1.0,1.4849,0.0247,inf,2
"ROAD=Highway, TIME=Afternoon",PEAK=No,0.0514,1.0,1.4849,0.0168,inf,2
"DURATION=45-90m, TIME=Afternoon",PEAK=No,0.0864,1.0,1.4849,0.0282,inf,2
"CONGESTION=Free flow, TIME=Night",PEAK=No,0.1102,1.0,1.4849,0.036,inf,2
"TIME=Night, WEEKEND=No",PEAK=No,0.1095,1.0,1.4849,0.0358,inf,2
"LANES_BLOCKED=0, TIME=Afternoon",PEAK=No,0.0809,1.0,1.4849,0.0264,inf,2
"CONGESTION=Free flow, WEEKEND=No",PEAK=No,0.0994,1.0,1.4849,0.0325,inf,2
"TIME=Afternoon, WEATHER=Clear",PEAK=No,0.122,1.0,1.4849,0.0399,inf,2
"DURATION=20-45m, TIME=Afternoon",PEAK=No,0.0611,1.0,1.4849,0.02,inf,2
TIME=Afternoon,"PEAK=No, VEHICLES=2-3",0.1403,0.5704,1.4824,0.0457,1.4321,1
"PEAK=Yes, TIME=Evening",CONGESTION=Severe,0.1286,0.7797,1.4796,0.0417,2.1469,2
"CONGESTION=Free flow, SEVERITY=Moderate",PEAK=No,0.0588,0.9945,1.4767,0.019,58.9454,2
SEVERITY=Serious,"CONGESTION=Severe, WEEKEND=No",0.1862,0.6364,1.4751,0.06,1.5636,1
"CONGESTION=Free flow, VEHICLES=2-3",PEAK=No,0.0909,0.9929,1.4743,0.0293,45.6786,2
"LANES_BLOCKED=2+, ZONE=South",CONGESTION=Severe,0.0552,0.7768,1.4741,0.0178,2.1191,2
"CONGESTION=Free flow, DURATION=45-90m",PEAK=No,0.053,0.9923,1.4735,0.017,42.5844,2
CONGESTION=Free flow,PEAK=No,0.1553,0.9911,1.4717,0.0498,36.7869,1
"CONGESTION=Free flow, TYPE=Collision",PEAK=No,0.052,0.9906,1.471,0.0166,34.8883,2
"LANES_BLOCKED=2+, RESPONSE=Normal",CONGESTION=Severe,0.0897,0.7751,1.471,0.0287,2.1035,2
