zone,segment_id,road_type,hour,avg_congestion,avg_speed,incidents
Central,SEG036,Arterial,18,0.5075,33.35,16
Central,SEG001,Collector,19,0.5053,27.83,10
Central,SEG029,Arterial,20,0.5044,33.48,11
Central,SEG023,Residential,10,0.5038,16.69,4
Central,SEG044,Arterial,6,0.5029,33.43,8
Central,SEG004,Collector,7,0.5023,27.8,11
Central,SEG044,Arterial,20,0.4969,33.72,8
Central,SEG023,Residential,13,0.4949,17.03,4
Central,SEG002,Arterial,6,0.4947,34.01,19
Central,SEG022,Arterial,20,0.4938,33.92,8
Central,SEG023,Residential,11,0.4906,16.99,10
Central,SEG057,Arterial,15,0.4899,34.25,15
Central,SEG001,Collector,12,0.4874,28.57,11
Central,SEG049,Collector,17,0.485,28.63,3
Central,SEG049,Collector,8,0.4837,28.6,10
Central,SEG057,Arterial,12,0.4826,34.55,13
Central,SEG001,Collector,15,0.4816,28.62,5
Central,SEG023,Residential,14,0.4761,17.24,3
Central,SEG057,Arterial,13,0.4748,34.86,16
Central,SEG002,Arterial,20,0.4746,34.96,14
Central,SEG004,Collector,9,0.4739,29.01,8
Central,SEG049,Collector,18,0.4723,29.24,7
Central,SEG001,Collector,10,0.467,29.22,5
Central,SEG036,Arterial,16,0.4669,35.35,15
Central,SEG028,Highway,16,0.4661,58.9,13
Central,SEG036,Arterial,7,0.4656,35.47,11
Central,SEG028,Highway,7,0.4613,58.95,12
Central,SEG057,Arterial,10,0.4592,35.57,7
Central,SEG015,Arterial,17,0.458,35.34,6
Central,SEG001,Collector,13,0.4577,29.57,4
Central,SEG057,Arterial,14,0.4567,35.69,14
Central,SEG015,Arterial,8,0.4527,35.98,11
Central,SEG001,Collector,11,0.4512,29.97,10
Central,SEG028,Highway,9,0.4509,59.86,17
Central,SEG057,Arterial,11,0.4483,36.02,11
Central,SEG001,Collector,14,0.4454,30.09,6
Central,SEG015,Arterial,18,0.4428,36.28,6
Central,SEG041,Arterial,17,0.4418,36.43,5
Central,SEG036,Arterial,9,0.438,36.6,8
Central,SEG049,Collector,16,0.4376,30.07,9
Central,SEG041,Arterial,8,0.4338,36.72,8
Central,SEG004,Collector,19,0.4306,30.77,8
Central,SEG041,Arterial,18,0.4261,37.15,12
Central,SEG049,Collector,7,0.4257,30.86,9
Central,SEG023,Residential,6,0.4227,18.57,3
Central,SEG023,Residential,20,0.4191,18.78,6
Central,SEG049,Collector,9,0.4183,31.15,10
Central,SEG004,Collector,15,0.4167,31.09,8
Central,SEG015,Arterial,16,0.4128,37.78,13
Central,SEG004,Collector,12,0.4127,31.42,7
Central,SEG028,Highway,19,0.405,63.42,8
Central,SEG057,Arterial,6,0.4035,38.28,15
Central,SEG015,Arterial,7,0.4027,38.24,9
Central,SEG044,Arterial,21,0.4022,38.19,15
Central,SEG029,Arterial,21,0.4009,38.2,10
Central,SEG022,Arterial,21,0.4004,38.42,13
Central,SEG004,Collector,10,0.3966,32.1,4
Central,SEG036,Arterial,19,0.3958,38.56,8
Central,SEG057,Arterial,20,0.3946,38.66,12
Central,SEG001,Collector,20,0.3937,32.06,10
Central,SEG001,Collector,6,0.3915,32.45,6
Central,SEG015,Arterial,9,0.3904,38.64,12
Central,SEG004,Collector,13,0.3891,32.37,5
Central,SEG028,Highway,15,0.3885,64.78,18
Central,SEG036,Arterial,15,0.3876,39.04,9
Central,SEG041,Arterial,16,0.3851,38.98,12
Central,SEG002,Arterial,21,0.3842,38.85,11
Central,SEG041,Arterial,7,0.3836,39.26,13
Central,SEG004,Collector,11,0.3833,32.67,7
Central,SEG036,Arterial,12,0.3822,39.08,12
Central,SEG028,Highway,12,0.3818,65.42,18
Central,SEG004,Collector,14,0.3792,32.75,4
Central,SEG036,Arterial,13,0.3748,39.21,20
Central,SEG036,Arterial,10,0.3696,39.76,11
Central,SEG049,Collector,19,0.369,33.16,3
Central,SEG028,Highway,13,0.3669,66.58,7
Central,SEG041,Arterial,9,0.3663,39.84,8
Central,SEG028,Highway,10,0.3596,66.91,9
Central,SEG036,Arterial,14,0.3571,40.33,12
Central,SEG036,Arterial,11,0.3554,40.56,10
Central,SEG028,Highway,11,0.3553,67.51,12
Central,SEG049,Collector,15,0.3549,33.65,7
Central,SEG015,Arterial,19,0.3514,40.82,7
Central,SEG028,Highway,14,0.351,67.74,8
Central,SEG004,Collector,20,0.345,33.92,10
Central,SEG049,Collector,12,0.3444,33.98,7
Central,SEG015,Arterial,15,0.3439,40.57,13
Central,SEG004,Collector,6,0.3436,34.2,3
Central,SEG015,Arterial,12,0.341,41.0,12
Central,SEG049,Collector,10,0.34,34.28,3
Central,SEG041,Arterial,19,0.3392,40.97,12
Central,SEG049,Collector,13,0.3359,34.35,6
Central,SEG023,Residential,21,0.3335,20.38,3
Central,SEG049,Collector,11,0.3334,34.68,9
Central,SEG049,Collector,14,0.331,34.65,9
Central,SEG015,Arterial,13,0.3292,41.56,12
Central,SEG041,Arterial,12,0.3266,41.7,12
Central,SEG028,Highway,6,0.3247,69.65,18
Central,SEG041,Arterial,15,0.3229,41.92,8
Central,SEG015,Arterial,10,0.3211,42.14,9
Central,SEG022,Arterial,22,0.3188,41.99,15
Central,SEG036,Arterial,6,0.3184,42.15,11
Central,SEG015,Arterial,11,0.3177,42.35,15
Central,SEG057,Arterial,21,0.3167,42.28,10
Central,SEG044,Arterial,22,0.3133,42.33,6
Central,SEG001,Collector,21,0.3132,35.3,7
Central,SEG015,Arterial,14,0.3121,42.37,11
Central,SEG029,Arterial,22,0.3112,42.21,5
Central,SEG028,Highway,20,0.3107,70.85,11
Central,SEG036,Arterial,20,0.3087,42.57,6
Central,SEG041,Arterial,13,0.3057,42.75,9
Central,SEG041,Arterial,10,0.2996,43.0,8
Central,SEG002,Arterial,22,0.2972,42.9,8
Central,SEG041,Arterial,11,0.2966,43.03,8
Central,SEG041,Arterial,14,0.2938,43.06,9
Central,SEG049,Collector,6,0.2884,36.31,3
Central,SEG049,Collector,20,0.2826,36.46,6
Central,SEG015,Arterial,6,0.2825,43.54,12
Central,SEG044,Arterial,5,0.277,44.37,13
Central,SEG022,Arterial,5,0.276,44.16,6
Central,SEG041,Arterial,6,0.2728,44.35,13
Central,SEG029,Arterial,5,0.2717,44.44,9
Central,SEG015,Arterial,20,0.2714,44.31,4
Central,SEG004,Collector,21,0.2709,36.87,6
Central,SEG002,Arterial,5,0.2693,44.63,8
Central,SEG023,Residential,22,0.265,22.41,5
Central,SEG041,Arterial,20,0.2621,44.77,6
Central,SEG036,Arterial,21,0.2568,45.11,12
Central,SEG057,Arterial,22,0.2526,45.27,9
Central,SEG028,Highway,21,0.2485,75.65,11
Central,SEG001,Collector,22,0.2484,37.76,8
Central,SEG023,Residential,5,0.2394,22.78,5
Central,SEG049,Collector,21,0.2389,38.04,7
Central,SEG044,Arterial,23,0.2327,45.99,8
Central,SEG022,Arterial,23,0.2324,46.11,8
Central,SEG029,Arterial,23,0.2319,46.16,3
Central,SEG015,Arterial,21,0.2225,46.53,10
Central,SEG002,Arterial,23,0.2219,46.91,10
Central,SEG057,Arterial,5,0.2134,46.93,6
Central,SEG004,Collector,22,0.2128,39.16,7
Central,SEG001,Collector,5,0.2112,39.3,5
Central,SEG041,Arterial,21,0.2107,47.08,14
Central,SEG036,Arterial,22,0.2057,47.54,10
Central,SEG028,Highway,22,0.2032,79.23,8
Central,SEG023,Residential,23,0.197,24.01,3
Central,SEG004,Collector,5,0.1909,39.93,8
Central,SEG049,Collector,22,0.1844,40.47,2
Central,SEG001,Collector,23,0.182,40.31,3
Central,SEG057,Arterial,23,0.18,48.33,7
Central,SEG015,Arterial,22,0.1766,48.98,7
Central,SEG028,Highway,5,0.1765,81.27,10
Central,SEG029,Arterial,0,0.1753,48.73,9
Central,SEG044,Arterial,0,0.174,48.88,8
Central,SEG041,Arterial,22,0.1733,49.0,8
Central,SEG036,Arterial,5,0.1712,49.07,9
Central,SEG002,Arterial,0,0.1707,49.0,14
Central,SEG022,Arterial,0,0.17,48.97,7
Central,SEG049,Collector,5,0.16,41.1,3
Central,SEG004,Collector,23,0.159,41.41,5
Central,SEG036,Arterial,23,0.153,49.93,9
Central,SEG015,Arterial,5,0.1496,50.11,2
Central,SEG028,Highway,23,0.148,83.31,6
Central,SEG041,Arterial,5,0.1474,50.18,9
Central,SEG029,Arterial,4,0.145,50.3,8
Central,SEG023,Residential,0,0.1449,25.2,2
Central,SEG044,Arterial,4,0.1447,49.97,8
Central,SEG022,Arterial,4,0.1437,50.24,10
Central,SEG049,Collector,23,0.1415,42.14,3
Central,SEG001,Collector,0,0.1405,41.92,6
Central,SEG002,Arterial,4,0.1395,50.33,7
Central,SEG057,Arterial,0,0.1374,50.6,4
Central,SEG015,Arterial,23,0.1355,50.67,10
Central,SEG041,Arterial,23,0.1297,50.83,9
Central,SEG029,Arterial,1,0.1276,51.28,8
Central,SEG044,Arterial,1,0.1269,51.08,10
Central,SEG022,Arterial,1,0.1259,51.01,11
Central,SEG023,Residential,4,0.1243,25.41,5
Central,SEG002,Arterial,1,0.1228,51.3,7
Central,SEG004,Collector,0,0.1225,42.48,9
Central,SEG057,Arterial,4,0.1137,51.72,4
Central,SEG028,Highway,0,0.1131,86.18,4
Central,SEG001,Collector,4,0.1121,43.23,2
Central,SEG023,Residential,1,0.1109,25.91,7
Central,SEG036,Arterial,0,0.1098,51.93,2
Central,SEG049,Collector,0,0.1025,43.31,3
Central,SEG004,Collector,4,0.102,43.54,2
Central,SEG015,Arterial,0,0.1009,52.48,2
Central,SEG022,Arterial,3,0.1008,52.13,7
Central,SEG001,Collector,1,0.1007,43.54,2
Central,SEG057,Arterial,1,0.1001,52.4,10
Central,SEG028,Highway,4,0.0985,87.36,11
Central,SEG029,Arterial,2,0.0983,52.48,6
Central,SEG029,Arterial,3,0.098,52.35,7
Central,SEG044,Arterial,3,0.0976,52.3,3
Central,SEG002,Arterial,3,0.097,52.55,8
Central,SEG044,Arterial,2,0.0962,52.4,6
Central,SEG036,Arterial,4,0.0959,52.32,4
Central,SEG002,Arterial,2,0.0951,52.38,5
Central,SEG022,Arterial,2,0.0951,52.48,6
Central,SEG041,Arterial,0,0.0949,52.48,0
Central,SEG004,Collector,1,0.0902,43.93,2
Central,SEG049,Collector,4,0.0869,44.08,2
Central,SEG036,Arterial,1,0.0861,52.89,7
Central,SEG023,Residential,3,0.0858,26.08,2
Central,SEG015,Arterial,4,0.0851,52.77,8
Central,SEG057,Arterial,3,0.0851,52.97,11
Central,SEG001,Collector,2,0.0844,44.18,7
Central,SEG023,Residential,2,0.0837,26.37,0
Central,SEG028,Highway,1,0.0834,88.39,5
Central,SEG041,Arterial,4,0.0833,53.07,6
Central,SEG057,Arterial,2,0.0827,52.96,10
Central,SEG001,Collector,3,0.0818,44.05,7
Central,SEG015,Arterial,1,0.0796,53.11,6
Central,SEG049,Collector,1,0.0787,44.28,1
Central,SEG041,Arterial,1,0.0763,53.24,8
Central,SEG004,Collector,3,0.0749,44.48,6
Central,SEG004,Collector,2,0.0746,44.46,4
Central,SEG028,Highway,3,0.0729,89.35,9
Central,SEG036,Arterial,2,0.0714,53.55,6
Central,SEG036,Arterial,3,0.0702,53.56,5
Central,SEG049,Collector,2,0.0675,44.72,4
Central,SEG049,Collector,3,0.0673,44.67,5
Central,SEG028,Highway,2,0.067,89.51,5
Central,SEG015,Arterial,3,0.0646,53.78,2
Central,SEG041,Arterial,2,0.0646,53.81,7
Central,SEG015,Arterial,2,0.0636,53.82,10
Central,SEG041,Arterial,3,0.0631,53.92,8
